image_path,filename,part,quality,index,split,image_size
train\major_defect\headlight_major_defect_10_0530.jpg,headlight_major_defect_10_0530.jpg,headlight,major_defect,10,train,"[256, 256]"
train\major_defect\headlight_major_defect_11_0531.jpg,headlight_major_defect_11_0531.jpg,headlight,major_defect,11,train,"[256, 256]"
train\major_defect\headlight_major_defect_12_0532.jpg,headlight_major_defect_12_0532.jpg,headlight,major_defect,12,train,"[256, 256]"
train\major_defect\headlight_major_defect_13_0533.jpg,headlight_major_defect_13_0533.jpg,headlight,major_defect,13,train,"[256, 256]"
train\major_defect\headlight_major_defect_14_0534.jpg,headlight_major_defect_14_0534.jpg,headlight,major_defect,14,train,"[256, 256]"
train\major_defect\headlight_major_defect_15_0535.jpg,headlight_major_defect_15_0535.jpg,headlight,major_defect,15,train,"[256, 256]"
train\major_defect\headlight_major_defect_16_0536.jpg,headlight_major_defect_16_0536.jpg,headlight,major_defect,16,train,"[256, 256]"
train\major_defect\headlight_major_defect_17_0537.jpg,headlight_major_defect_17_0537.jpg,headlight,major_defect,17,train,"[256, 256]"
train\major_defect\headlight_major_defect_18_0538.jpg,headlight_major_defect_18_0538.jpg,headlight,major_defect,18,train,"[256, 256]"
train\major_defect\headlight_major_defect_19_0539.jpg,headlight_major_defect_19_0539.jpg,headlight,major_defect,19,train,"[256, 256]"
train\major_defect\hood_major_defect_00_0100.jpg,hood_major_defect_00_0100.jpg,hood,major_defect,0,train,"[256, 256]"
train\major_defect\hood_major_defect_01_0101.jpg,hood_major_defect_01_0101.jpg,hood,major_defect,1,train,"[256, 256]"
train\major_defect\hood_major_defect_02_0102.jpg,hood_major_defect_02_0102.jpg,hood,major_defect,2,train,"[256, 256]"
train\major_defect\hood_major_defect_03_0103.jpg,hood_major_defect_03_0103.jpg,hood,major_defect,3,train,"[256, 256]"
train\major_defect\hood_major_defect_04_0104.jpg,hood_major_defect_04_0104.jpg,hood,major_defect,4,train,"[256, 256]"
train\major_defect\hood_major_defect_05_0105.jpg,hood_major_defect_05_0105.jpg,hood,major_defect,5,train,"[256, 256]"
train\major_defect\hood_major_defect_06_0106.jpg,hood_major_defect_06_0106.jpg,hood,major_defect,6,train,"[256, 256]"
train\major_defect\hood_major_defect_07_0107.jpg,hood_major_defect_07_0107.jpg,hood,major_defect,7,train,"[256, 256]"
train\major_defect\hood_major_defect_08_0108.jpg,hood_major_defect_08_0108.jpg,hood,major_defect,8,train,"[256, 256]"
train\major_defect\hood_major_defect_11_0111.jpg,hood_major_defect_11_0111.jpg,hood,major_defect,11,train,"[256, 256]"
train\major_defect\hood_major_defect_12_0112.jpg,hood_major_defect_12_0112.jpg,hood,major_defect,12,train,"[256, 256]"
train\major_defect\hood_major_defect_13_0113.jpg,hood_major_defect_13_0113.jpg,hood,major_defect,13,train,"[256, 256]"
train\major_defect\hood_major_defect_16_0116.jpg,hood_major_defect_16_0116.jpg,hood,major_defect,16,train,"[256, 256]"
train\major_defect\hood_major_defect_17_0117.jpg,hood_major_defect_17_0117.jpg,hood,major_defect,17,train,"[256, 256]"
train\major_defect\hood_major_defect_18_0118.jpg,hood_major_defect_18_0118.jpg,hood,major_defect,18,train,"[256, 256]"
train\major_defect\hood_major_defect_19_0119.jpg,hood_major_defect_19_0119.jpg,hood,major_defect,19,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_00_0700.jpg,roof_top_inside_major_defect_00_0700.jpg,roof_top_inside,major_defect,0,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_03_0703.jpg,roof_top_inside_major_defect_03_0703.jpg,roof_top_inside,major_defect,3,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_04_0704.jpg,roof_top_inside_major_defect_04_0704.jpg,roof_top_inside,major_defect,4,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_05_0705.jpg,roof_top_inside_major_defect_05_0705.jpg,roof_top_inside,major_defect,5,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_06_0706.jpg,roof_top_inside_major_defect_06_0706.jpg,roof_top_inside,major_defect,6,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_07_0707.jpg,roof_top_inside_major_defect_07_0707.jpg,roof_top_inside,major_defect,7,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_08_0708.jpg,roof_top_inside_major_defect_08_0708.jpg,roof_top_inside,major_defect,8,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_09_0709.jpg,roof_top_inside_major_defect_09_0709.jpg,roof_top_inside,major_defect,9,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_10_0710.jpg,roof_top_inside_major_defect_10_0710.jpg,roof_top_inside,major_defect,10,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_11_0711.jpg,roof_top_inside_major_defect_11_0711.jpg,roof_top_inside,major_defect,11,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_13_0713.jpg,roof_top_inside_major_defect_13_0713.jpg,roof_top_inside,major_defect,13,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_14_0714.jpg,roof_top_inside_major_defect_14_0714.jpg,roof_top_inside,major_defect,14,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_15_0715.jpg,roof_top_inside_major_defect_15_0715.jpg,roof_top_inside,major_defect,15,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_16_0716.jpg,roof_top_inside_major_defect_16_0716.jpg,roof_top_inside,major_defect,16,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_17_0717.jpg,roof_top_inside_major_defect_17_0717.jpg,roof_top_inside,major_defect,17,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_18_0718.jpg,roof_top_inside_major_defect_18_0718.jpg,roof_top_inside,major_defect,18,train,"[256, 256]"
train\major_defect\roof_top_inside_major_defect_19_0719.jpg,roof_top_inside_major_defect_19_0719.jpg,roof_top_inside,major_defect,19,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_00_0760.jpg,roof_top_outside_major_defect_00_0760.jpg,roof_top_outside,major_defect,0,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_01_0761.jpg,roof_top_outside_major_defect_01_0761.jpg,roof_top_outside,major_defect,1,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_02_0762.jpg,roof_top_outside_major_defect_02_0762.jpg,roof_top_outside,major_defect,2,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_03_0763.jpg,roof_top_outside_major_defect_03_0763.jpg,roof_top_outside,major_defect,3,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_04_0764.jpg,roof_top_outside_major_defect_04_0764.jpg,roof_top_outside,major_defect,4,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_06_0766.jpg,roof_top_outside_major_defect_06_0766.jpg,roof_top_outside,major_defect,6,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_07_0767.jpg,roof_top_outside_major_defect_07_0767.jpg,roof_top_outside,major_defect,7,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_08_0768.jpg,roof_top_outside_major_defect_08_0768.jpg,roof_top_outside,major_defect,8,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_10_0770.jpg,roof_top_outside_major_defect_10_0770.jpg,roof_top_outside,major_defect,10,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_11_0771.jpg,roof_top_outside_major_defect_11_0771.jpg,roof_top_outside,major_defect,11,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_12_0772.jpg,roof_top_outside_major_defect_12_0772.jpg,roof_top_outside,major_defect,12,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_13_0773.jpg,roof_top_outside_major_defect_13_0773.jpg,roof_top_outside,major_defect,13,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_14_0774.jpg,roof_top_outside_major_defect_14_0774.jpg,roof_top_outside,major_defect,14,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_15_0775.jpg,roof_top_outside_major_defect_15_0775.jpg,roof_top_outside,major_defect,15,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_18_0778.jpg,roof_top_outside_major_defect_18_0778.jpg,roof_top_outside,major_defect,18,train,"[256, 256]"
train\major_defect\roof_top_outside_major_defect_19_0779.jpg,roof_top_outside_major_defect_19_0779.jpg,roof_top_outside,major_defect,19,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_00_0400.jpg,side_mirror_major_defect_00_0400.jpg,side_mirror,major_defect,0,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_01_0401.jpg,side_mirror_major_defect_01_0401.jpg,side_mirror,major_defect,1,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_02_0402.jpg,side_mirror_major_defect_02_0402.jpg,side_mirror,major_defect,2,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_04_0404.jpg,side_mirror_major_defect_04_0404.jpg,side_mirror,major_defect,4,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_05_0405.jpg,side_mirror_major_defect_05_0405.jpg,side_mirror,major_defect,5,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_06_0406.jpg,side_mirror_major_defect_06_0406.jpg,side_mirror,major_defect,6,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_07_0407.jpg,side_mirror_major_defect_07_0407.jpg,side_mirror,major_defect,7,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_08_0408.jpg,side_mirror_major_defect_08_0408.jpg,side_mirror,major_defect,8,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_09_0409.jpg,side_mirror_major_defect_09_0409.jpg,side_mirror,major_defect,9,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_11_0411.jpg,side_mirror_major_defect_11_0411.jpg,side_mirror,major_defect,11,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_12_0412.jpg,side_mirror_major_defect_12_0412.jpg,side_mirror,major_defect,12,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_13_0413.jpg,side_mirror_major_defect_13_0413.jpg,side_mirror,major_defect,13,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_14_0414.jpg,side_mirror_major_defect_14_0414.jpg,side_mirror,major_defect,14,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_15_0415.jpg,side_mirror_major_defect_15_0415.jpg,side_mirror,major_defect,15,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_16_0416.jpg,side_mirror_major_defect_16_0416.jpg,side_mirror,major_defect,16,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_17_0417.jpg,side_mirror_major_defect_17_0417.jpg,side_mirror,major_defect,17,train,"[256, 256]"
train\major_defect\side_mirror_major_defect_19_0419.jpg,side_mirror_major_defect_19_0419.jpg,side_mirror,major_defect,19,train,"[256, 256]"
train\major_defect\trunk_major_defect_00_0460.jpg,trunk_major_defect_00_0460.jpg,trunk,major_defect,0,train,"[256, 256]"
train\major_defect\trunk_major_defect_01_0461.jpg,trunk_major_defect_01_0461.jpg,trunk,major_defect,1,train,"[256, 256]"
train\major_defect\trunk_major_defect_02_0462.jpg,trunk_major_defect_02_0462.jpg,trunk,major_defect,2,train,"[256, 256]"
train\major_defect\trunk_major_defect_03_0463.jpg,trunk_major_defect_03_0463.jpg,trunk,major_defect,3,train,"[256, 256]"
train\major_defect\trunk_major_defect_04_0464.jpg,trunk_major_defect_04_0464.jpg,trunk,major_defect,4,train,"[256, 256]"
train\major_defect\trunk_major_defect_05_0465.jpg,trunk_major_defect_05_0465.jpg,trunk,major_defect,5,train,"[256, 256]"
train\major_defect\trunk_major_defect_06_0466.jpg,trunk_major_defect_06_0466.jpg,trunk,major_defect,6,train,"[256, 256]"
train\major_defect\trunk_major_defect_07_0467.jpg,trunk_major_defect_07_0467.jpg,trunk,major_defect,7,train,"[256, 256]"
train\major_defect\trunk_major_defect_08_0468.jpg,trunk_major_defect_08_0468.jpg,trunk,major_defect,8,train,"[256, 256]"
train\major_defect\trunk_major_defect_09_0469.jpg,trunk_major_defect_09_0469.jpg,trunk,major_defect,9,train,"[256, 256]"
train\major_defect\trunk_major_defect_10_0470.jpg,trunk_major_defect_10_0470.jpg,trunk,major_defect,10,train,"[256, 256]"
train\major_defect\trunk_major_defect_11_0471.jpg,trunk_major_defect_11_0471.jpg,trunk,major_defect,11,train,"[256, 256]"
train\major_defect\trunk_major_defect_12_0472.jpg,trunk_major_defect_12_0472.jpg,trunk,major_defect,12,train,"[256, 256]"
train\major_defect\trunk_major_defect_13_0473.jpg,trunk_major_defect_13_0473.jpg,trunk,major_defect,13,train,"[256, 256]"
train\major_defect\trunk_major_defect_14_0474.jpg,trunk_major_defect_14_0474.jpg,trunk,major_defect,14,train,"[256, 256]"
train\major_defect\trunk_major_defect_16_0476.jpg,trunk_major_defect_16_0476.jpg,trunk,major_defect,16,train,"[256, 256]"
train\major_defect\trunk_major_defect_17_0477.jpg,trunk_major_defect_17_0477.jpg,trunk,major_defect,17,train,"[256, 256]"
train\major_defect\trunk_major_defect_19_0479.jpg,trunk_major_defect_19_0479.jpg,trunk,major_defect,19,train,"[256, 256]"
train\major_defect\wheel_major_defect_00_0340.jpg,wheel_major_defect_00_0340.jpg,wheel,major_defect,0,train,"[256, 256]"
train\major_defect\wheel_major_defect_01_0341.jpg,wheel_major_defect_01_0341.jpg,wheel,major_defect,1,train,"[256, 256]"
train\major_defect\wheel_major_defect_02_0342.jpg,wheel_major_defect_02_0342.jpg,wheel,major_defect,2,train,"[256, 256]"
train\major_defect\wheel_major_defect_03_0343.jpg,wheel_major_defect_03_0343.jpg,wheel,major_defect,3,train,"[256, 256]"
train\major_defect\wheel_major_defect_04_0344.jpg,wheel_major_defect_04_0344.jpg,wheel,major_defect,4,train,"[256, 256]"
train\major_defect\wheel_major_defect_07_0347.jpg,wheel_major_defect_07_0347.jpg,wheel,major_defect,7,train,"[256, 256]"
train\major_defect\wheel_major_defect_08_0348.jpg,wheel_major_defect_08_0348.jpg,wheel,major_defect,8,train,"[256, 256]"
train\major_defect\wheel_major_defect_09_0349.jpg,wheel_major_defect_09_0349.jpg,wheel,major_defect,9,train,"[256, 256]"
train\major_defect\wheel_major_defect_11_0351.jpg,wheel_major_defect_11_0351.jpg,wheel,major_defect,11,train,"[256, 256]"
train\major_defect\wheel_major_defect_13_0353.jpg,wheel_major_defect_13_0353.jpg,wheel,major_defect,13,train,"[256, 256]"
train\major_defect\wheel_major_defect_15_0355.jpg,wheel_major_defect_15_0355.jpg,wheel,major_defect,15,train,"[256, 256]"
train\major_defect\wheel_major_defect_17_0357.jpg,wheel_major_defect_17_0357.jpg,wheel,major_defect,17,train,"[256, 256]"
train\major_defect\wheel_major_defect_18_0358.jpg,wheel_major_defect_18_0358.jpg,wheel,major_defect,18,train,"[256, 256]"
train\major_defect\wheel_major_defect_19_0359.jpg,wheel_major_defect_19_0359.jpg,wheel,major_defect,19,train,"[256, 256]"
train\major_defect\whole_car_major_defect_00_0580.jpg,whole_car_major_defect_00_0580.jpg,whole_car,major_defect,0,train,"[256, 256]"
train\major_defect\whole_car_major_defect_03_0583.jpg,whole_car_major_defect_03_0583.jpg,whole_car,major_defect,3,train,"[256, 256]"
train\major_defect\whole_car_major_defect_05_0585.jpg,whole_car_major_defect_05_0585.jpg,whole_car,major_defect,5,train,"[256, 256]"
train\major_defect\whole_car_major_defect_06_0586.jpg,whole_car_major_defect_06_0586.jpg,whole_car,major_defect,6,train,"[256, 256]"
train\major_defect\whole_car_major_defect_07_0587.jpg,whole_car_major_defect_07_0587.jpg,whole_car,major_defect,7,train,"[256, 256]"
train\major_defect\whole_car_major_defect_08_0588.jpg,whole_car_major_defect_08_0588.jpg,whole_car,major_defect,8,train,"[256, 256]"
train\major_defect\whole_car_major_defect_09_0589.jpg,whole_car_major_defect_09_0589.jpg,whole_car,major_defect,9,train,"[256, 256]"
train\major_defect\whole_car_major_defect_11_0591.jpg,whole_car_major_defect_11_0591.jpg,whole_car,major_defect,11,train,"[256, 256]"
train\major_defect\whole_car_major_defect_12_0592.jpg,whole_car_major_defect_12_0592.jpg,whole_car,major_defect,12,train,"[256, 256]"
train\major_defect\whole_car_major_defect_13_0593.jpg,whole_car_major_defect_13_0593.jpg,whole_car,major_defect,13,train,"[256, 256]"
train\major_defect\whole_car_major_defect_14_0594.jpg,whole_car_major_defect_14_0594.jpg,whole_car,major_defect,14,train,"[256, 256]"
train\major_defect\whole_car_major_defect_16_0596.jpg,whole_car_major_defect_16_0596.jpg,whole_car,major_defect,16,train,"[256, 256]"
train\major_defect\whole_car_major_defect_17_0597.jpg,whole_car_major_defect_17_0597.jpg,whole_car,major_defect,17,train,"[256, 256]"
train\major_defect\whole_car_major_defect_18_0598.jpg,whole_car_major_defect_18_0598.jpg,whole_car,major_defect,18,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_01_0641.jpg,whole_car_no_mechanical_major_defect_01_0641.jpg,whole_car_no_mechanical,major_defect,1,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_02_0642.jpg,whole_car_no_mechanical_major_defect_02_0642.jpg,whole_car_no_mechanical,major_defect,2,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_03_0643.jpg,whole_car_no_mechanical_major_defect_03_0643.jpg,whole_car_no_mechanical,major_defect,3,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_05_0645.jpg,whole_car_no_mechanical_major_defect_05_0645.jpg,whole_car_no_mechanical,major_defect,5,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_07_0647.jpg,whole_car_no_mechanical_major_defect_07_0647.jpg,whole_car_no_mechanical,major_defect,7,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_08_0648.jpg,whole_car_no_mechanical_major_defect_08_0648.jpg,whole_car_no_mechanical,major_defect,8,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_09_0649.jpg,whole_car_no_mechanical_major_defect_09_0649.jpg,whole_car_no_mechanical,major_defect,9,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_10_0650.jpg,whole_car_no_mechanical_major_defect_10_0650.jpg,whole_car_no_mechanical,major_defect,10,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_11_0651.jpg,whole_car_no_mechanical_major_defect_11_0651.jpg,whole_car_no_mechanical,major_defect,11,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_13_0653.jpg,whole_car_no_mechanical_major_defect_13_0653.jpg,whole_car_no_mechanical,major_defect,13,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_15_0655.jpg,whole_car_no_mechanical_major_defect_15_0655.jpg,whole_car_no_mechanical,major_defect,15,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_16_0656.jpg,whole_car_no_mechanical_major_defect_16_0656.jpg,whole_car_no_mechanical,major_defect,16,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_17_0657.jpg,whole_car_no_mechanical_major_defect_17_0657.jpg,whole_car_no_mechanical,major_defect,17,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_18_0658.jpg,whole_car_no_mechanical_major_defect_18_0658.jpg,whole_car_no_mechanical,major_defect,18,train,"[256, 256]"
train\major_defect\whole_car_no_mechanical_major_defect_19_0659.jpg,whole_car_no_mechanical_major_defect_19_0659.jpg,whole_car_no_mechanical,major_defect,19,train,"[256, 256]"
train\major_defect\windshield_major_defect_00_0280.jpg,windshield_major_defect_00_0280.jpg,windshield,major_defect,0,train,"[256, 256]"
train\major_defect\windshield_major_defect_01_0281.jpg,windshield_major_defect_01_0281.jpg,windshield,major_defect,1,train,"[256, 256]"
train\major_defect\windshield_major_defect_02_0282.jpg,windshield_major_defect_02_0282.jpg,windshield,major_defect,2,train,"[256, 256]"
train\major_defect\windshield_major_defect_03_0283.jpg,windshield_major_defect_03_0283.jpg,windshield,major_defect,3,train,"[256, 256]"
train\major_defect\windshield_major_defect_04_0284.jpg,windshield_major_defect_04_0284.jpg,windshield,major_defect,4,train,"[256, 256]"
train\major_defect\windshield_major_defect_07_0287.jpg,windshield_major_defect_07_0287.jpg,windshield,major_defect,7,train,"[256, 256]"
train\major_defect\windshield_major_defect_08_0288.jpg,windshield_major_defect_08_0288.jpg,windshield,major_defect,8,train,"[256, 256]"
train\major_defect\windshield_major_defect_09_0289.jpg,windshield_major_defect_09_0289.jpg,windshield,major_defect,9,train,"[256, 256]"
